id,expense_name,category_id,project_id,accountId,trip_id,manager_id,expense_date,expense_quantity,unit_currency_id,unit_amount,expense_currency_id,expense_amount,expense_conversion_rate,application_currency_id,application_amount,advance_amount,return_amount,is_reimbursable,is_from_advance,expense_payment_id,expense_payment_ref_no,description,status,createdby,modifiedby,createddate,modifieddate,isactive
147,"laptop accessories",14,109,89,0,916,2021-12-04,5.00,0,2500.00,4,12500.00,0.00,4,12500.00,,,1,0,10,,,approved,920,916,"2021-12-04 14:25:25","2021-12-05 08:36:08",1
148,gadgets,23,109,89,0,916,2021-12-10,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,approved,920,916,"2021-12-05 06:23:44","2021-12-05 08:36:23",1
149,monitor,15,109,89,0,916,2021-12-09,1.00,0,566.00,4,566.00,0.00,4,566.00,,,1,0,3,,,approved,920,916,"2021-12-05 06:26:27","2021-12-05 09:16:32",1
150,keyboard,13,109,89,0,916,2021-12-13,2.00,0,500.00,4,1000.00,0.00,4,1000.00,,,1,0,4,,,approved,920,916,"2021-12-05 06:43:41","2021-12-05 09:16:10",1
151,charger,13,109,89,0,916,2031-08-21,1.00,0,1500.00,4,1500.00,0.00,4,1500.00,,,0,0,10,,,rejected,920,916,"2021-12-05 07:03:25","2021-12-05 09:15:51",1
152,gadgets,23,109,89,0,916,2021-12-22,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,3,,,approved,920,916,"2021-12-05 07:20:36","2021-12-05 09:14:41",1
153,monitor,15,109,89,0,916,2021-12-16,1.00,0,6333.00,4,6333.00,0.00,4,6333.00,,,1,0,11,,,approved,920,916,"2021-12-05 07:22:52","2021-12-05 08:47:02",1
154,keyboard,23,109,89,0,77,2021-12-14,8.00,0,800.00,4,6400.00,0.00,4,6400.00,,,1,0,10,,,submitted,917,0,"2021-12-05 07:26:38","2021-12-05 07:26:38",1
155,"usb cable",13,0,0,0,77,2021-12-30,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,submitted,917,0,"2021-12-05 08:01:48","2021-12-05 08:01:48",1
156,"wifi processor",13,0,0,0,77,2021-12-31,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,submitted,917,0,"2021-12-05 08:20:04","2021-12-05 08:20:04",1
157,gadgets,23,0,0,0,918,2021-12-31,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,submitted,919,0,"2021-12-05 08:25:35","2021-12-05 08:25:35",1
158,monitor,15,109,89,0,918,2021-12-24,1.00,0,2500.00,4,2500.00,0.00,4,2500.00,,,1,0,10,,,submitted,919,0,"2021-12-05 08:26:28","2021-12-05 08:26:28",1
159,"staff welfare",21,109,89,38,514,2021-12-25,35.00,0,2500.00,4,87500.00,0.00,4,87500.00,,,1,0,10,,,submitted,916,0,"2021-12-05 08:42:34","2021-12-05 08:42:34",1
160,"medical insurance",20,109,89,0,514,2021-12-09,1.00,0,2500.00,4,2500.00,0.00,4,2500.00,,,1,0,10,,,submitted,916,0,"2021-12-05 08:44:03","2021-12-05 08:44:03",1
161,monitor,15,109,89,0,2,2021-12-10,1.00,0,2500.00,4,2500.00,0.00,4,2500.00,,,1,0,10,,,submitted,921,0,"2021-12-05 09:49:05","2021-12-05 09:49:05",1
162,monitor,13,109,89,0,916,2022-01-08,2.00,0,1000.00,4,2000.00,0.00,4,2000.00,,,1,0,11,,,submitted,77,0,"2021-12-05 11:48:22","2021-12-05 11:48:22",1
163,keyboard,13,0,0,0,916,2021-12-23,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,11,,,submitted,77,0,"2021-12-05 12:11:38","2021-12-05 12:11:38",1
164,"usb cable",13,109,89,0,916,2021-12-29,8.00,0,100.00,4,800.00,0.00,4,800.00,,,0,0,11,,,submitted,77,0,"2021-12-05 12:13:48","2021-12-05 12:13:48",1
165,Fishbowl,13,0,0,0,77,2021-12-23,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,11,,,submitted,917,0,"2021-12-05 12:21:06","2021-12-05 12:21:06",1
166,Fishbowl,13,0,0,0,77,2021-12-23,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,11,,,submitted,917,0,"2021-12-05 13:05:02","2021-12-05 13:05:02",1
167,"JM Expense for Japan Trip",12,0,0,0,77,2022-01-05,1.00,0,1000.00,4,1000.00,0.00,4,1000.00,,,1,0,11,,,submitted,917,0,"2021-12-05 13:30:56","2021-12-05 13:30:56",1
168,"Judit Exp. for Monitor",12,0,0,0,77,2021-12-29,1.00,0,1000.00,4,1000.00,0.00,4,1000.00,,,1,0,11,,,submitted,917,0,"2021-12-05 15:05:00","2021-12-05 15:05:00",1
169,"Judit Exp. For External Mouse",22,0,0,0,77,2021-12-08,2.00,0,400.00,4,800.00,0.00,4,800.00,,,1,0,11,,,submitted,917,0,"2021-12-05 15:05:00","2021-12-05 15:05:00",1
170,"medical insurance",20,109,89,0,77,2021-12-20,1.00,0,2500.00,4,2500.00,0.00,4,2500.00,,,1,0,9,,,rejected,917,77,"2021-12-05 15:06:32","2022-01-31 17:44:20",1
171,"usb cable",13,109,89,0,77,2021-12-31,1.00,0,100.00,4,100.00,0.00,4,100.00,,,1,0,10,,,rejected,917,77,"2021-12-05 15:06:32","2022-01-31 17:45:06",1
172,gadgets,23,109,89,0,514,2021-12-21,35.00,0,500.00,4,17500.00,0.00,4,17500.00,,,1,0,10,,,submitted,916,0,"2021-12-06 07:03:43","2021-12-06 07:03:43",1
173,monitor,25,109,89,0,2,2021-12-16,5.00,0,85555.00,4,427775.00,0.00,4,427775.00,,,1,0,3,,,submitted,921,0,"2021-12-06 11:16:49","2021-12-06 11:16:49",1
174,mouse,13,0,0,0,2,2021-12-21,2.00,0,366.00,4,732.00,0.00,4,732.00,,,1,0,9,,,submitted,921,0,"2021-12-06 11:16:49","2021-12-06 11:16:49",1
175,monitor,13,96,78,0,0,2021-12-13,2.00,0,25500.00,4,51000.00,0.00,4,51000.00,,,1,0,10,,,submitted,514,0,"2021-12-06 13:03:30","2021-12-06 13:03:30",1
176,gadgets,15,109,89,0,916,2021-12-07,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,submitted,920,0,"2021-12-06 13:41:20","2021-12-06 13:41:20",1
177,monitor,14,109,89,0,918,2021-12-13,1.00,0,2500.00,4,2500.00,0.00,4,2500.00,2500.00,,1,1,3,,,submitted,919,0,"2021-12-13 13:27:16","2021-12-13 13:27:16",1
178,monitor,22,109,89,0,918,2021-12-20,2.00,0,2000.00,4,4000.00,0.00,4,4000.00,,,1,0,9,,,approved,919,918,"2021-12-13 13:54:24","2021-12-13 13:59:48",1
179,mouse,23,109,89,0,918,2021-12-14,3.00,0,1500.00,4,4500.00,0.00,4,4500.00,,,1,0,4,,,approved,919,918,"2021-12-13 13:54:24","2021-12-13 14:07:50",1
180,usb,23,109,89,0,918,2021-12-21,6.00,0,255.00,4,1530.00,0.00,4,1530.00,,,1,0,11,,,approved,919,918,"2021-12-13 13:54:25","2021-12-13 13:57:27",1
181,"medical insurance",20,109,89,0,916,2021-12-13,35.00,0,500.00,4,17500.00,0.00,4,17500.00,,,1,0,9,,,submitted,920,0,"2021-12-13 14:44:45","2021-12-13 14:44:45",1
182,mouse,23,109,89,0,916,2021-12-28,3.00,0,500.00,4,1500.00,0.00,4,1500.00,1500.00,,1,1,11,,,submitted,920,0,"2021-12-13 14:44:45","2021-12-13 14:44:45",1
183,DECORATIONS,21,109,89,0,2,2021-12-25,23.00,0,566.00,4,13018.00,0.00,4,13018.00,,,1,0,3,,,submitted,921,0,"2021-12-14 08:20:05","2021-12-14 08:20:05",1
184,TRIP,21,109,89,41,2,2021-12-24,50.00,0,2500.00,4,125000.00,0.00,4,125000.00,,,1,0,3,,,submitted,921,0,"2021-12-14 08:20:06","2021-12-14 08:20:06",1
185,monitor,22,109,89,0,77,2021-12-21,1.00,0,500.00,4,500.00,0.00,4,500.00,500.00,,1,1,3,,,paid,917,920,"2021-12-21 07:39:13","2022-01-12 16:49:34",1
186,keyboard,15,109,89,0,77,2021-12-21,2.00,0,3000.00,4,6000.00,0.00,4,6000.00,6000.00,,0,1,10,,,rejectedFND,917,920,"2021-12-21 07:40:04","2022-01-31 17:50:24",1
187,gadgets,23,110,92,0,514,2022-01-12,2.00,0,500.00,4,1000.00,0.00,4,1000.00,,,1,0,9,,,submitted,535,0,"2022-01-12 07:08:39","2022-01-12 07:08:39",1
188,"staff welfare",21,109,89,33,77,2022-01-12,25.00,0,2500.00,4,62500.00,0.00,4,62500.00,,,1,0,10,,,approved,917,77,"2022-01-12 08:49:12","2022-01-12 13:01:26",1
189,-------,16,109,89,45,514,2022-01-24,5.00,0,8569.00,4,42845.00,0.00,4,42845.00,,,1,0,9,,,submitted,916,0,"2022-01-17 15:21:32","2022-01-17 15:21:32",1
190,--------,16,109,89,46,514,2022-01-31,56.00,0,8452.00,4,473312.00,0.00,4,473312.00,,,1,0,9,,,submitted,916,0,"2022-01-17 15:21:32","2022-01-17 15:21:32",1
